locale,live_url,en_decision,item_id,is_live,http_status,slug,title
de,https://overloop.com/de/blog/ab-test-affiliate-rekrutierung,,686b98c386a19a9a000fb6f0,YES,200,ab-test-affiliate-rekrutierung,A/B-Tests im Affiliate-Recruiting [Case]
de,https://overloop.com/de/blog/ab-test-e-mail-drip-kampagnen,,68667d650d82926b84c72f17,YES,200,ab-test-e-mail-drip-kampagnen,A/B-Tests für E-Mail-Drip-Kampagnen: Guide
de,https://overloop.com/de/blog/abmeldelink-e-mail,,686b59b1f93f046853f710d8,YES,200,abmeldelink-e-mail,Link zum Abbestellen
de,https://overloop.com/de/blog/alleinstellungsmerkmal,,69a076fc1ef6a21672bbc4b2,YES,200,alleinstellungsmerkmal,Wie schreibe ich 2026 ein Alleinstellungsmerkmal
de,https://overloop.com/de/blog/angebote-pipelines-vertrieb,,68667c39e1fd4bb8ece340f7,YES,200,angebote-pipelines-vertrieb,Angebote und Pipelines
de,https://overloop.com/de/blog/antwortrate-erhoehen-sales-emails,,68667b056dd2297b0a415d36,YES,200,antwortrate-erhoehen-sales-emails,31 % Antwortrate auf E-Mails [Fallstudie]
de,https://overloop.com/de/blog/apollo-alternativen,,69415bfb5ebc5be8ab48daa8,YES,200,apollo-alternativen,Apollo-Alternativen: 13 Tools (2025)
de,https://overloop.com/de/blog/apollo-vs-lemlist-vergleich,,693ad517a452d64895a2060b,YES,200,apollo-vs-lemlist-vergleich,Apollo vs Lemlist: bestes B2B-Tool?
de,https://overloop.com/de/blog/aussendienst-vertrieb-infografik,,6867811413437ba10e255469,YES,200,aussendienst-vertrieb-infografik,Der Stand des Außendienstes [Infografik]
de,https://overloop.com/de/blog/automatisierungen-workflow,,68667d132db1cbe22d7d7d3f,YES,200,automatisierungen-workflow,Automatisierungen
de,https://overloop.com/de/blog/b2b-emails-finden-dsgvo,,68667b3e84e696a86a4e8799,YES,200,b2b-emails-finden-dsgvo,B2B-E-Mails finden (DSGVO-konform)
de,https://overloop.com/de/blog/b2b-interessenten-beschaffung-tools,,68667e7ae59b7fc88cda2355,YES,200,b2b-interessenten-beschaffung-tools,10 B2B-Prospecting-Tools für 2025
de,https://overloop.com/de/blog/b2b-leadgenerierung-manuell-vs-ki,,68667d0e9d86a31a8cf42268,YES,200,b2b-leadgenerierung-manuell-vs-ki,B2B-Leads: manuelle vs. KI-Methoden
de,https://overloop.com/de/blog/b2b-vertrieb-followups-ki-assistent,,687f443be52dda11ec59ba8e,YES,200,b2b-vertrieb-followups-ki-assistent,B2B-Follow-ups automatisieren mit KI-E-Mail
